x	y
-8.540892158048955	-544768
-8.540443497891804	6256640
-8.539994837734657	4055040
-8.539546177577506	1417216
-8.539097517420359	-997376
-8.538648857263208	-6658048
-8.538200197106061	-14440448
-8.53775153694891	-5990400
-8.537302876791763	-6492160
-8.536854216634612	1374208
-8.536405556477465	-4112384
-8.535956896320315	-5720064
-8.535508236163167	-3053568
-8.535059576006017	-6690816
-8.53461091584887	-16148480
-8.534162255691722	-15753216
-8.533713595534572	-7585792
-8.533264935377424	-2490368
-8.532816275220274	-77824
-8.532367615063126	-1019904
-8.531918954905976	8663040
-8.531470294748829	12818432
-8.531021634591678	6379520
-8.53057297443453	3276800
-8.53012431427738	-55296
-8.529675654120233	-3504128
-8.529226993963082	-8994816
-8.528778333805935	-13012992
-8.528329673648784	-4769792
-8.527881013491637	-2275328
-8.527432353334486	-5126144
-8.526983693177339	1167360
-8.526535033020192	11745280
-8.526086372863041	-565248
-8.525637712705894	2037760
-8.525189052548743	4829184
-8.524740392391596	-5044224
-8.524291732234445	-6653952
-8.523843072077298	-8847360
-8.523394411920147	-11544576
-8.522945751763	-5511168
-8.52249709160585	-899072
-8.522048431448702	-903168
-8.521599771291552	-5748736
-8.521151111134404	-7292928
-8.520702450977254	-5756928
-8.520253790820107	169984
-8.51980513066296	5300224
-8.519356470505809	1869824
-8.518907810348662	6133760
-8.51845915019151	4700160
-8.518010490034364	-692224
-8.517561829877213	-6076416
-8.517113169720066	-7188480
-8.516664509562915	-6492160
-8.516215849405768	3676160
-8.515767189248617	67584
-8.51531852909147	557056
-8.51486986893432	-8355840
-8.514421208777172	-3635200
-8.513972548620021	-5507072
-8.513523888462874	-11241472
-8.513075228305727	-6418432
-8.512626568148576	-1071104
-8.512177907991429	1540096
-8.511729247834278	4136960
-8.511280587677131	12283904
-8.51083192751998	6883328
-8.510383267362833	1990656
-8.509934607205683	2875392
-8.509485947048535	-3045376
-8.509037286891385	-5308416
-8.508588626734237	-5163008
-8.508139966577087	5433344
-8.50769130641994	6035456
-8.507242646262789	3207168
-8.506793986105642	-1974272
-8.506345325948494	-3348480
-8.505896665791344	1253376
-8.505448005634197	-589824
-8.504999345477046	4726784
-8.504550685319899	-862208
-8.504102025162748	268288
-8.5036533650056	-2959360
-8.50320470484845	-4210688
-8.502756044691303	-9340928
-8.502307384534152	-11962368
-8.501858724377005	-6991872
-8.501410064219854	-8269824
-8.500961404062707	-4233216
-8.500512743905556	7585792
-8.50006408374841	10618880
-8.499615423591258	3137536
-8.499166763434111	997376
-8.498718103276964	4769792
-8.498269443119813	6690816
-8.497820782962666	6293504
-8.497372122805515	3229696
-8.496923462648368	4182016
-8.496474802491218	-1007616
-8.49602614233407	1148928
-8.49557748217692	-2504704
-8.495128822019772	7835648
-8.494680161862622	5154816
-8.494231501705475	-36864
-8.493782841548324	-1110016
-8.493334181391177	8007680
-8.492885521234026	7307264
-8.492436861076879	6350848
-8.491988200919732	-9527296
-8.49153954076258	-5861376
-8.491090880605434	-1765376
-8.490642220448283	1753088
-8.490193560291136	-3735552
-8.489744900133985	-2766848
-8.489296239976838	-8046592
-8.488847579819687	-4202496
-8.48839891966254	-9441280
-8.48795025950539	-5224448
-8.487501599348242	759808
-8.487052939191091	-2338816
-8.486604279033944	555008
-8.486155618876793	1921024
-8.485706958719646	3192832
-8.4852582985625	12476416
-8.484809638405348	8540160
-8.484360978248201	4562944
-8.48391231809105	1261568
-8.483463657933903	-1775616
-8.483014997776753	-3844096
-8.482566337619605	-5120000
-8.482117677462455	-8816640
-8.481669017305308	-8910848
-8.481220357148157	-5576704
-8.48077169699101	-350208
-8.480323036833859	-3389440
-8.479874376676712	-14422016
-8.479425716519561	-16871424
-8.478977056362414	-13793280
-8.478528396205267	-13223936
-8.478079736048116	-18292736
-8.477631075890969	-13783040
-8.477182415733818	-11233280
-8.47673375557667	-8222720
-8.47628509541952	978944
-8.475836435262373	9578496
-8.475387775105222	15312896
-8.474939114948075	15544320
-8.474490454790924	13096960
-8.474041794633777	5718016
-8.473593134476626	-5261312
-8.47314447431948	-7849984
-8.472695814162329	4134912
-8.472247154005181	-4927488
-8.47179849384803	-8929280
-8.471349833690883	-7049216
-8.470901173533736	-2490368
-8.470452513376586	962560
-8.470003853219438	-2631680
-8.469555193062288	-2101248
-8.46910653290514	247808
-8.46865787274799	1271808
-8.468209212590843	-2582528
-8.467760552433692	3854336
-8.467311892276545	-2621440
-8.466863232119394	-364544
-8.466414571962247	-538624
-8.465965911805096	2394112
-8.465517251647949	8622080
-8.465068591490798	5044224
-8.464619931333651	4855808
-8.464171271176504	3643392
-8.463722611019353	4548608
-8.463273950862206	692224
-8.462825290705055	-2539520
-8.462376630547908	-9060352
-8.461927970390757	-10995712
-8.46147931023361	-11829248
-8.46103065007646	174080
-8.460581989919312	-2052096
-8.460133329762161	-1298432
-8.459684669605014	-5474304
-8.459236009447864	-7542784
-8.458787349290716	-11055104
-8.458338689133566	-8564736
-8.457890028976419	-2514944
-8.457441368819271	-5189632
-8.45699270866212	-4126720
-8.456544048504973	-3330048
-8.456095388347823	-2314240
-8.455646728190676	-9058304
-8.455198068033525	-11880448
-8.454749407876378	-5513216
-8.454300747719227	-655360
-8.45385208756208	-9603072
-8.453403427404929	-12087296
-8.452954767247782	-4231168
