x	y
-8.554859877969168	-410624
-8.554411217818288	3721216
-8.553962557667404	1193984
-8.553513897516524	-5390336
-8.55306523736564	-10229760
-8.55261657721476	-8385536
-8.552167917063876	774144
-8.551719256912996	-592896
-8.551270596762112	-3323904
-8.550821936611232	-310272
-8.550373276460348	-5617664
-8.549924616309468	-1262592
-8.549475956158584	4526080
-8.549027296007704	3216384
-8.54857863585682	-2171904
-8.54812997570594	-2554880
-8.547681315555057	-156672
-8.547232655404176	-724992
-8.546783995253293	-5288960
-8.546335335102413	-6404096
-8.545886674951529	372736
-8.545438014800649	-6394880
-8.544989354649765	-5953536
-8.544540694498885	-2732032
-8.544092034348001	-5271552
-8.54364337419712	-4019200
-8.543194714046237	-2002944
-8.542746053895357	12288
-8.542297393744473	1646592
-8.54184873359359	-4828160
-8.54140007344271	-7054336
-8.540951413291825	-9297920
-8.540502753140945	-8577024
-8.540054092990061	-7093248
-8.539605432839181	-2784256
-8.539156772688298	-7349248
-8.538708112537417	-2107392
-8.538259452386534	-177152
-8.537810792235653	-4665344
-8.53736213208477	-7086080
-8.53691347193389	-4000768
-8.536464811783006	-6106112
-8.536016151632126	-591872
-8.535567491481242	8602624
-8.535118831330362	5756928
-8.534670171179478	505856
-8.534221511028598	1153024
-8.533772850877714	-4737024
-8.533324190726834	-3952640
-8.53287553057595	1332224
-8.53242687042507	2970624
-8.531978210274186	-758784
-8.531529550123306	751616
-8.531080889972422	-7225344
-8.530632229821542	-5226496
-8.530183569670658	-5912576
-8.529734909519778	-10570752
-8.529286249368894	-8920064
-8.528837589218014	-9295872
-8.52838892906713	1529856
-8.527940268916247	1734656
-8.527491608765366	-8248320
-8.527042948614483	-8072192
-8.526594288463603	11117568
-8.526145628312719	12587008
-8.525696968161839	2063360
-8.525248308010955	-522240
-8.524799647860075	5619712
-8.524350987709191	12041216
-8.52390232755831	6915072
-8.523453667407427	10287104
-8.523005007256547	2136064
-8.522556347105663	-3653632
-8.522107686954783	4198400
-8.5216590268039	14401536
-8.521210366653019	10073088
-8.520761706502135	10597376
-8.520313046351255	4120576
-8.519864386200371	-3638272
-8.519415726049491	-14959616
-8.518967065898607	-15469568
-8.518518405747727	-19759104
-8.518069745596843	-6097920
-8.517621085445963	-7738368
-8.51717242529508	-9697280
-8.5167237651442	419840
-8.516275104993316	974848
-8.515826444842435	-2746368
-8.515377784691552	-9822208
-8.514929124540668	-9810944
-8.514480464389788	-1024000
-8.514031804238904	1778688
-8.513583144088024	4047872
-8.51313448393714	-4558848
-8.51268582378626	-6132736
-8.512237163635376	-1652736
-8.511788503484496	3949568
-8.511339843333612	1869824
-8.510891183182732	-959488
-8.510442523031848	-6031360
-8.509993862880968	-8810496
-8.509545202730084	-6341632
-8.509096542579204	-160768
-8.50864788242832	-8282112
-8.50819922227744	-8914944
-8.507750562126557	-9143296
-8.507301901975676	-11820032
-8.506853241824793	-8612864
-8.506404581673912	-7041024
-8.505955921523029	-8016896
-8.505507261372149	-8488960
-8.505058601221265	-5658624
-8.504609941070385	-4515840
-8.5041612809195	-4293632
-8.50371262076862	-8920064
-8.503263960617737	-14214144
-8.502815300466857	-10644480
-8.502366640315973	540672
-8.501917980165093	-2538496
-8.501469320014209	-6975488
-8.501020659863325	-6224896
-8.500571999712445	-6705152
-8.500123339561561	-337920
-8.499674679410681	2451456
-8.499226019259797	-5659648
-8.498777359108917	-3403776
-8.498328698958034	-177152
-8.497880038807153	576512
-8.49743137865627	-5698560
-8.49698271850539	-36864
-8.496534058354506	-5537792
-8.496085398203626	-623616
-8.495636738052742	848896
-8.495188077901862	-1641472
-8.494739417750978	4716544
-8.494290757600098	748544
-8.493842097449214	2070528
-8.493393437298334	6670336
-8.49294477714745	-822272
-8.49249611699657	2917376
-8.492047456845686	1491968
-8.491598796694806	3665920
-8.491150136543922	-307200
-8.490701476393042	-1686528
-8.490252816242158	6313984
-8.489804156091278	8909824
-8.489355495940394	2979840
-8.488906835789514	-7277568
-8.48845817563863	-3887104
-8.488009515487747	-1991680
-8.487560855336866	-3632128
-8.487112195185983	337920
-8.486663535035103	7605248
-8.486214874884219	6461440
-8.485766214733339	-467968
-8.485317554582455	2018304
-8.484868894431575	2510848
-8.484420234280691	4555776
-8.48397157412981	-6763520
-8.483522913978927	-2838528
-8.483074253828047	3922944
-8.482625593677163	6042624
-8.482176933526283	1592320
-8.4817282733754	-5147648
-8.481279613224519	-12598272
-8.480830953073635	-5231616
-8.480382292922755	-1957888
-8.479933632771871	-2831360
-8.479484972620991	3033088
-8.479036312470107	4506624
-8.478587652319227	12275712
-8.478138992168343	1996800
-8.477690332017463	-14175232
-8.47724167186658	-9583616
-8.4767930117157	-9754624
-8.476344351564816	-9616384
-8.475895691413935	-3949568
-8.475447031263052	2220032
-8.474998371112168	2549760
-8.474549710961288	7451648
-8.474101050810404	3165184
-8.473652390659524	-6959104
-8.47320373050864	-13418496
-8.47275507035776	-12143616
-8.472306410206876	-3101696
-8.471857750055996	-978944
-8.471409089905112	2378752
-8.470960429754232	-2734080
-8.470511769603348	-2811904
-8.470063109452468	-6858752
-8.469614449301584	-10465280
-8.469165789150704	-10308608
-8.46871712899982	-6178816
-8.46826846884894	-14829568
-8.467819808698057	-5967872
-8.467371148547176	-7351296
-8.466922488396293	-16354304
-8.466473828245412	-7764992
-8.466025168094529	311296
-8.465576507943648	-3986432
-8.465127847792765	-3607552
-8.464679187641885	2499584
-8.464230527491	7118848
-8.46378186734012	2154496
-8.463333207189237	9558016
-8.462884547038357	12353536
-8.462435886887473	3684352
-8.461987226736593	3579904
-8.461538566585709	-3419136
-8.461089906434825	6451200
-8.460641246283945	-2171904
-8.460192586133061	-1412096
-8.459743925982181	-8606720
-8.459295265831297	-8098816
-8.458846605680417	-16339968
-8.458397945529534	-3262464
-8.457949285378653	706560
-8.45750062522777	471040
-8.45705196507689	-11045888
-8.456603304926006	-3859456
-8.456154644775125	-12299264
-8.455705984624242	-2601984
-8.455257324473362	-4705280
-8.454808664322478	-5371904
-8.454360004171598	-2353152
-8.453911344020714	1878016
-8.453462683869834	5014528
-8.45301402371895	-434176
-8.45256536356807	-6132736
-8.452116703417186	-8981504
-8.451668043266306	-7871488
-8.451219383115422	-3100672
-8.450770722964542	1528832
-8.450322062813658	-4531200
-8.449873402662778	-13468672
-8.449424742511894	-2928640
-8.448976082361014	-678912
-8.44852742221013	2946048
-8.448078762059247	-2989056
-8.447630101908366	-6938624
-8.447181441757483	-1722368
-8.446732781606602	-2230272
-8.446284121455719	610304
-8.445835461304839	-337920
-8.445386801153955	-17408
-8.444938141003075	-1076224
-8.44448948085219	5506048
-8.44404082070131	2265088
-8.443592160550427	-3383296
-8.443143500399547	997376
-8.442694840248663	-3903488
-8.442246180097783	4092928
-8.441797519946899	1242112
-8.441348859796019	-867328
-8.440900199645135	-3632128
-8.440451539494255	-14087168
-8.440002879343371	-19329024
-8.439554219192491	-15719424
-8.439105559041607	-7713792
-8.438656898890727	-3306496
-8.438208238739843	-5305344
-8.437759578588963	595968
-8.43731091843808	-7734272
-8.4368622582872	-4250624
-8.436413598136316	-4283392
-8.435964937985435	-735232
-8.435516277834552	-7400448
-8.435067617683668	-210944
-8.434618957532788	776192
-8.434170297381904	468992
-8.433721637231024	885760
-8.43327297708014	3198976
-8.43282431692926	4985856
-8.432375656778376	-2367488
-8.431926996627496	4090880
-8.431478336476612	6123520
-8.431029676325732	0
-8.430581016174848	9800704
-8.430132356023968	6896640
-8.429683695873084	6234112
-8.429235035722204	6014976
-8.42878637557132	8104960
-8.42833771542044	11858944
-8.427889055269556	7994368
-8.427440395118676	16090112
-8.426991734967793	6687744
-8.426543074816912	2480128
-8.426094414666029	276480
-8.425645754515148	6645760
-8.425197094364265	11915264
-8.424748434213384	4750336
-8.4242997740625	2824192
-8.42385111391162	-1903616
-8.423402453760737	-4508672
-8.422953793609857	-7518208
-8.422505133458973	-4161536
-8.422056473308093	2872320
-8.421607813157209	273408
-8.421159153006325	1758208
-8.420710492855445	-2470912
-8.420261832704561	-4558848
-8.419813172553681	801792
-8.419364512402797	4186112
-8.418915852251917	2355200
-8.418467192101033	-7128064
-8.418018531950153	-8554496
-8.41756987179927	-6077440
-8.41712121164839	276480
-8.416672551497506	-9092096
-8.416223891346625	-11527168
-8.415775231195742	-7119872
-8.415326571044861	-3086336
-8.414877910893978	-8482816
-8.414429250743098	-13207552
-8.413980590592214	-8701952
-8.413531930441334	-8812544
-8.41308327029045	-261120
-8.41263461013957	7927808
-8.412185949988686	46080
-8.411737289837806	-7913472
-8.411288629686922	1859584
-8.410839969536042	282624
-8.410391309385158	-7321600
-8.409942649234278	-1967104
-8.409493989083394	6285312
-8.409045328932514	13632512
-8.40859666878163	7331840
-8.408148008630747	-2977792
-8.407699348479866	-1054720
-8.407250688328983	642048
-8.406802028178102	3724288
-8.406353368027219	-1748992
-8.405904707876338	-1479680
-8.405456047725455	-587776
-8.405007387574575	5065728
-8.40455872742369	-9145344
-8.40411006727281	-8136704
-8.403661407121927	-50176
-8.403212746971047	-4291584
-8.402764086820163	321536
-8.402315426669283	2817024
-8.401866766518399	9177088
-8.401418106367519	11705344
-8.400969446216635	5531648
-8.400520786065755	-2604032
-8.400072125914871	1012736
-8.399623465763991	6107136
-8.399174805613107	4298752
-8.398726145462227	1385472
-8.398277485311343	-104448
-8.397828825160463	88064
-8.39738016500958	4727808
-8.3969315048587	5875712
-8.396482844707815	5059584
-8.396034184556935	-2536448
-8.395585524406052	9093120
-8.395136864255171	10220544
-8.394688204104288	1760256
-8.394239543953404	-115712
-8.393790883802524	2394112
-8.39334222365164	3790848
-8.39289356350076	4130816
