x	y
-8.518484219103325	1921024
-8.51803555893612	-4755456
-8.517586898768919	-8204288
-8.517138238601717	-11100160
-8.516689578434512	-12128256
-8.516240918267311	-5869568
-8.51579225810011	-1218560
-8.515343597932905	-2164736
-8.514894937765703	-1628160
-8.514446277598502	8316928
-8.5139976174313	8142848
-8.513548957264096	4962304
-8.513100297096894	-2217984
-8.512651636929693	-4505600
-8.512202976762488	-3506176
-8.511754316595287	-10125312
-8.511305656428085	-8665088
-8.51085699626088	-12431360
-8.510408336093679	-11538432
-8.509959675926478	-8779776
-8.509511015759273	-8808448
-8.509062355592071	-8450048
-8.50861369542487	-10004480
-8.508165035257665	-10463232
-8.507716375090464	-10665984
-8.507267714923263	-10598400
-8.506819054756061	595968
-8.506370394588856	4161536
-8.505921734421655	7657472
-8.505473074254454	8620032
-8.505024414087249	239616
-8.504575753920047	4102144
-8.504127093752846	4167680
-8.503678433585641	2547712
-8.50322977341844	-5265408
-8.502781113251238	-9953280
-8.502332453084033	-3282944
-8.501883792916832	-6647808
-8.50143513274963	-11235328
-8.500986472582426	-4001792
-8.500537812415224	-3065856
-8.500089152248023	-10518528
-8.499640492080818	-9824256
-8.499191831913617	-2828288
-8.498743171746415	4440064
-8.498294511579214	10428416
-8.49784585141201	7344128
-8.497397191244808	-2543616
-8.496948531077607	-247808
-8.496499870910402	-5130240
-8.4960512107432	-8650752
-8.495602550575999	-7041024
-8.495153890408794	-7292928
-8.494705230241593	-5492736
-8.494256570074391	-3143680
-8.493807909907186	-2232320
-8.493359249739985	-411648
-8.492910589572784	-552960
-8.492461929405579	3100672
-8.492013269238377	-280576
-8.491564609071176	-2396160
-8.491115948903975	526336
-8.49066728873677	4358144
-8.490218628569568	7278592
-8.489769968402367	4503552
-8.489321308235162	-3147776
-8.48887264806796	1792000
-8.48842398790076	-464896
-8.487975327733555	3428352
-8.487526667566353	-2719744
-8.487078007399152	-1826816
-8.486629347231947	5187584
-8.486180687064746	5416960
-8.485732026897544	-190464
-8.48528336673034	-1181696
-8.484834706563138	1284096
-8.484386046395937	1296384
-8.483937386228732	-3069952
-8.48348872606153	-5066752
-8.483040065894329	8818688
-8.482591405727128	11106304
-8.482142745559923	4630528
-8.481694085392721	3520512
-8.48124542522552	221184
-8.480796765058315	3809280
-8.480348104891114	2121728
-8.479899444723912	5347328
-8.479450784556708	6510592
-8.479002124389506	12224512
-8.478553464222305	5750784
-8.4781048040551	4354048
-8.477656143887899	2848768
-8.477207483720697	3934208
-8.476758823553492	729088
-8.476310163386291	3303424
-8.47586150321909	-4048896
-8.475412843051885	-7079936
-8.474964182884683	-2727936
-8.474515522717482	4993024
-8.47406686255028	4874240
-8.473618202383076	3831808
-8.473169542215874	-2893824
-8.472720882048673	4857856
-8.472272221881468	1515520
-8.471823561714267	2050048
-8.471374901547065	-7356416
-8.47092624137986	-4945920
-8.47047758121266	-9832448
-8.470028921045458	-630784
-8.469580260878253	3784704
-8.469131600711052	3936256
-8.46868294054385	763904
-8.468234280376645	2273280
-8.467785620209444	6641664
-8.467336960042243	9306112
-8.466888299875041	8673280
-8.466439639707836	9295872
-8.465990979540635	4210688
-8.465542319373434	9760768
-8.465093659206229	8701952
-8.464644999039027	1460224
-8.464196338871826	1755136
-8.463747678704621	993280
-8.46329901853742	8861696
-8.462850358370218	7952384
-8.462401698203013	-3784704
-8.461953038035812	-4190208
-8.46150437786861	-7227392
-8.461055717701406	-5978112
-8.460607057534205	-1835008
-8.460158397367003	-1277952
-8.459709737199798	1685504
-8.459261077032597	802816
-8.458812416865396	-4806656
-8.458363756698194	-1263616
-8.45791509653099	10129408
-8.457466436363788	15357952
-8.457017776196587	15144960
-8.456569116029382	10418176
-8.45612045586218	-2045952
-8.455671795694979	-5890048
-8.455223135527774	-5017600
-8.454774475360573	-1411072
-8.454325815193371	5003264
-8.453877155026166	3010560
-8.453428494858965	1865728
-8.452979834691764	-5335040
-8.452531174524559	-8812544
-8.452082514357357	-10553344
-8.451633854190156	-11171840
-8.451185194022955	-4913152
-8.45073653385575	264192
-8.450287873688549	2863104
-8.449839213521347	-1292288
-8.449390553354142	-3219456
-8.44894189318694	4341760
-8.44849323301974	2324480
-8.448044572852535	-3874816
-8.447595912685333	-3952640
-8.447147252518132	-3211264
-8.446698592350927	-327680
-8.446249932183726	-6404096
-8.445801272016524	18432
-8.44535261184932	-2473984
-8.444903951682118	-2516992
-8.444455291514917	-7106560
-8.444006631347712	-8214528
-8.44355797118051	-4050944
-8.443109311013309	4083712
-8.442660650846108	-3428352
-8.442211990678903	3622912
-8.441763330511701	1654784
-8.4413146703445	-1536000
-8.440866010177295	-9134080
-8.440417350010094	-11673600
-8.439968689842893	1931264
-8.439520029675688	9224192
-8.439071369508486	11220992
-8.438622709341285	7684096
-8.43817404917408	1869824
-8.437725389006879	-5238784
-8.437276728839677	-6883328
-8.436828068672472	-7049216
-8.436379408505271	-2879488
-8.43593074833807	-364544
-8.435482088170868	-2113536
-8.435033428003663	-1867776
-8.434584767836462	-1681408
-8.43413610766926	4096
-8.433687447502056	8460288
-8.433238787334854	8349696
-8.432790127167653	6305792
-8.432341467000448	1556480
-8.431892806833247	-3391488
-8.431444146666045	4388864
-8.43099548649884	4032512
-8.43054682633164	9453568
-8.430098166164438	4395008
-8.429649505997233	6541312
-8.429200845830032	-6195200
-8.42875218566283	-4554752
-8.428303525495625	-4405248
-8.427854865328424	-5681152
-8.427406205161223	5267456
-8.426957544994021	5357568
-8.426508884826816	616448
-8.426060224659615	-8681472
-8.425611564492414	-15314944
-8.425162904325209	-13709312
-8.424714244158007	-6498304
-8.424265583990806	-5593088
