x	y
-8.52647241115098	-2002944
-8.526023750987363	-3291136
-8.525575090823743	-3979264
-8.525126430660126	-2422784
-8.524677770496506	-13940736
-8.52422911033289	-5609472
-8.52378045016927	-464896
-8.523331790005653	-8957952
-8.522883129842032	-7733248
-8.522434469678416	1734656
-8.521985809514796	1277952
-8.521537149351179	-1593344
-8.521088489187559	-4913152
-8.520639829023942	-2629632
-8.520191168860322	-1357824
-8.519742508696705	-2363392
-8.519293848533085	2402304
-8.518845188369468	976896
-8.518396528205848	409600
-8.517947868042231	-530432
-8.517499207878611	-4282368
-8.517050547714994	-3198976
-8.516601887551374	-753664
-8.516153227387758	-2260992
-8.515704567224137	-6457344
-8.51525590706052	-1617920
-8.5148072468969	-3590144
-8.514358586733284	2375680
-8.513909926569664	1196032
-8.513461266406047	2551808
-8.513012606242427	2445312
-8.51256394607881	7997440
-8.51211528591519	8484864
-8.511666625751573	9105408
-8.511217965587953	5830656
-8.510769305424336	1363968
-8.510320645260716	5455872
-8.5098719850971	-3688448
-8.50942332493348	-7260160
-8.508974664769863	4302848
-8.508526004606242	-1751040
-8.508077344442626	-1916928
-8.507628684279005	284672
-8.507180024115389	3504128
-8.506731363951769	-6238208
-8.506282703788152	-10418176
-8.505834043624532	-11776000
-8.505385383460915	-10280960
-8.504936723297295	2207744
-8.504488063133678	-2308096
-8.504039402970058	1423360
-8.503590742806441	7065600
-8.503142082642821	2590720
-8.502693422479204	-12836864
-8.502244762315584	-16105472
-8.501796102151967	-16148480
-8.501347441988347	-16429056
-8.50089878182473	-20209664
-8.50045012166111	-9000960
-8.500001461497494	-6766592
-8.499552801333873	-6946816
-8.499104141170257	1159168
-8.498655481006637	-10240
-8.49820682084302	-6410240
-8.4977581606794	-2650112
-8.497309500515783	1488896
-8.496860840352163	6451200
-8.496412180188546	5552128
-8.495963520024926	-8466432
-8.49551485986131	-9275392
-8.495066199697689	-6313984
-8.494617539534072	-2617344
-8.494168879370452	4544512
-8.493720219206836	-239616
-8.493271559043215	-7849984
-8.492822898879599	-6082560
-8.492374238715978	-3487744
-8.491925578552362	-6809600
-8.491476918388742	-8122368
-8.491028258225125	-8861696
-8.490579598061505	-6291456
-8.490130937897888	6914048
-8.489682277734268	968704
