x	y
-8.53432014414977	-1460224
-8.533871483989671	-7036928
-8.533422823829575	-2322432
-8.532974163669476	-2510848
-8.53252550350938	-4114432
-8.53207684334928	-9017344
-8.531628183189184	-8417280
-8.531179523029088	-10684416
-8.530730862868989	-3047424
-8.530282202708893	-4605952
-8.529833542548793	-5617664
-8.529384882388698	-518144
-8.528936222228598	9009152
-8.528487562068502	7434240
-8.528038901908406	4663296
-8.527590241748307	-806912
-8.52714158158821	-2158592
-8.526692921428111	-2322432
-8.526244261268015	4229120
-8.525795601107916	8124416
-8.52534694094782	3696640
-8.52489828078772	-2363392
-8.524449620627625	-3641344
-8.524000960467529	-6952960
-8.52355230030743	573440
-8.523103640147333	-100352
-8.522654979987234	-8769536
-8.522206319827138	-13533184
-8.521757659667038	-6174720
-8.521308999506942	-3352576
-8.520860339346847	-6451200
-8.520411679186747	-3674112
-8.519963019026651	-13522944
-8.519514358866552	-5920768
-8.519065698706456	4425728
-8.518617038546356	4368384
-8.51816837838626	-7845888
-8.517719718226164	-12646400
-8.517271058066065	-6281216
-8.516822397905969	727040
-8.51637373774587	7026688
-8.515925077585774	7282688
-8.515476417425674	8669184
-8.515027757265578	5711872
-8.514579097105482	5605376
-8.514130436945383	-4087808
-8.513681776785287	-8327168
-8.513233116625187	-8443904
-8.512784456465091	-10364928
-8.512335796304992	-9322496
-8.511887136144896	-7026688
-8.5114384759848	-11028480
-8.5109898158247	-12961792
-8.510541155664605	-7864320
-8.510092495504505	-1632256
-8.50964383534441	-4194304
-8.50919517518431	1230848
-8.508746515024214	6187008
-8.508297854864114	8544256
-8.507849194704018	6782976
-8.507400534543923	-3405824
-8.506951874383823	-3311616
-8.506503214223727	-217088
-8.506054554063628	-1955840
-8.505605893903532	-3479552
-8.505157233743432	-2691072
-8.504708573583336	-28672
-8.50425991342324	-839680
-8.503811253263141	-7512064
-8.503362593103045	-1740800
-8.502913932942946	-718848
-8.50246527278285	3264512
-8.50201661262275	3864576
-8.501567952462654	-3674112
-8.501119292302558	1001472
-8.500670632142459	-1482752
-8.500221971982363	7874560
-8.499773311822263	6682624
-8.499324651662167	1591296
-8.498875991502068	-6336512
-8.498427331341972	-3334144
-8.497978671181876	1505280
-8.497530011021777	919552
-8.49708135086168	4216832
-8.496632690701581	10371072
-8.496184030541485	8878080
-8.495735370381386	6148096
-8.49528671022129	6768640
-8.494838050061194	11606016
-8.494389389901094	11984896
-8.493940729740999	-2621440
-8.493492069580899	-14540800
-8.493043409420803	-9136128
-8.492594749260704	-7612416
-8.492146089100608	-503808
-8.491697428940508	-2203648
-8.491248768780412	3928064
-8.490800108620316	16424960
-8.490351448460217	13207552
-8.489902788300121	10250240
-8.489454128140022	2375680
-8.489005467979926	-2848768
-8.488556807819826	3862528
-8.48810814765973	-1533952
-8.487659487499634	2895872
-8.487210827339535	522240
-8.486762167179439	6332416
-8.48631350701934	-5322752
-8.485864846859243	-8181760
-8.485416186699144	-4237312
-8.484967526539048	-1384448
-8.484518866378952	-1048576
-8.484070206218853	-12029952
-8.483621546058757	-12025856
-8.483172885898657	5865472
-8.482724225738561	5091328
-8.482275565578462	2795520
-8.481826905418366	7921664
-8.48137824525827	4939776
-8.48092958509817	-202752
-8.480480924938075	-2271232
-8.480032264777975	-6574080
-8.47958360461788	-2549760
-8.47913494445778	-7258112
-8.478686284297684	-4429824
-8.478237624137588	-9871360
-8.477788963977488	-13893632
-8.477340303817392	-13279232
-8.476891643657293	-5953536
-8.476442983497197	-1181696
-8.475994323337098	-7837696
-8.475545663177002	-7563264
-8.475097003016906	3821568
-8.474648342856806	3315712
-8.47419968269671	-2828288
-8.47375102253661	-11483136
-8.473302362376515	-6236160
-8.472853702216415	-4786176
-8.47240504205632	6422528
-8.47195638189622	9402368
-8.471507721736124	7229440
-8.471059061576028	2064384
-8.470610401415929	2693120
-8.470161741255833	3309568
-8.469713081095733	65536
-8.469264420935637	-315392
-8.468815760775538	1056768
-8.468367100615442	9365504
-8.467918440455346	12611584
-8.467469780295247	3647488
-8.46702112013515	2451456
