x	y
-8.454765470913468	2588160
-8.454316810717678	-1750528
-8.453868150521885	-220160
-8.453419490326095	1764352
-8.452970830130305	-1475584
-8.452522169934515	-8453120
-8.452073509738725	3857920
-8.451624849542931	6767616
-8.45117618934714	4735488
-8.45072752915135	692224
-8.45027886895556	-1305600
-8.44983020875977	-6872064
-8.449381548563977	-7457280
-8.448932888368187	-6499328
-8.448484228172397	1899520
-8.448035567976607	5740032
-8.447586907780813	3001856
-8.447138247585023	-3047936
-8.446689587389233	-1752576
-8.446240927193443	3506688
-8.445792266997653	5637632
-8.44534360680186	1341440
-8.44489494660607	-3037696
-8.44444628641028	-2570752
-8.44399762621449	6411264
-8.4435489660187	6116352
-8.443100305822906	1099776
-8.442651645627116	2172416
-8.442202985431326	-1616896
-8.441754325235536	2337792
-8.441305665039746	4577792
-8.440857004843952	-465920
-8.440408344648162	-534528
-8.439959684452372	2344960
-8.439511024256582	4239872
-8.439062364060792	-1771008
-8.438613703864998	-1373184
-8.438165043669208	2502656
-8.437716383473418	-3423744
-8.437267723277628	-4552192
-8.436819063081835	-9916928
-8.436370402886045	-8353280
-8.435921742690255	-7413248
-8.435473082494465	-1171968
-8.435024422298675	7071744
-8.434575762102881	19206656
-8.434127101907091	14683648
-8.4336784417113	-2309632
-8.43322978151551	-4990976
-8.43278112131972	1156608
-8.432332461123927	2804224
-8.431883800928137	2189824
-8.431435140732347	5148160
-8.430986480536557	7625728
-8.430537820340767	4104704
-8.430089160144973	6026752
-8.429640499949183	424448
-8.429191839753393	-6339584
-8.428743179557603	-10322944
-8.428294519361813	-12882432
-8.42784585916602	-5761536
-8.42739719897023	-4499456
-8.42694853877444	-6675968
-8.42649987857865	-5684736
-8.426051218382856	-13201920
-8.425602558187066	-10796544
-8.425153897991276	-6320640
-8.424705237795486	-3730944
-8.424256577599696	-1335296
-8.423807917403902	-10493952
-8.423359257208112	-1928704
-8.422910597012322	580096
-8.422461936816532	2052608
-8.422013276620742	1234944
-8.421564616424948	-7410688
-8.421115956229158	-5572608
-8.420667296033368	-3134976
-8.420218635837578	-4951552
-8.419769975641788	-6003200
-8.419321315445995	-1223168
-8.418872655250205	-5199360
-8.418423995054415	-6631936
-8.417975334858625	4423168
-8.417526674662835	16868864
-8.417078014467041	13878272
-8.416629354271251	9140736
-8.41618069407546	-3218944
-8.41573203387967	-8411648
-8.41528337368388	-2779136
-8.414834713488087	-11553280
-8.414386053292297	-11793920
-8.413937393096507	-5608448
-8.413488732900717	-11066880
-8.413040072704923	-7759360
-8.412591412509133	-2044928
-8.412142752313343	-1951232
-8.411694092117553	-900608
-8.411245431921763	5669888
-8.41079677172597	11686400
-8.41034811153018	1796096
-8.40989945133439	-5106688
-8.4094507911386	-1753600
-8.40900213094281	-223744
-8.408553470747016	1485824
-8.408104810551226	2745856
-8.407656150355436	3051008
-8.407207490159646	-5200384
-8.406758829963856	-7749632
-8.406310169768062	-1462784
-8.405861509572272	-5371392
-8.405412849376482	-5108224
-8.404964189180692	-18648064
-8.404515528984902	-10285568
-8.404066868789108	-948736
-8.403618208593318	-4628992
-8.403169548397528	-6339072
-8.402720888201738	-3674624
-8.402272228005945	1561600
-8.401823567810155	2594816
-8.401374907614365	4096000
-8.400926247418575	4049920
-8.400477587222785	5266432
-8.400028927026991	1525760
-8.399580266831201	2693120
-8.399131606635411	8145920
-8.39868294643962	4090368
-8.39823428624383	-8081408
-8.397785626048037	-14509568
-8.397336965852247	-4685312
-8.396888305656457	-483328
-8.396439645460667	706048
-8.395990985264877	-9062912
-8.395542325069083	-1787392
-8.395093664873293	-3793408
-8.394645004677503	-4682240
-8.394196344481713	8192
-8.393747684285923	6225408
-8.39329902409013	5224960
-8.39285036389434	9073664
-8.39240170369855	11890176
-8.39195304350276	12369408
-8.39150438330697	12897280
-8.391055723111176	10115072
-8.390607062915386	6024192
-8.390158402719596	-5770752
-8.389709742523806	-1626624
-8.389261082328012	-4364288
-8.388812422132222	-4568064
-8.388363761936432	-3781632
-8.387915101740642	-7860224
-8.387466441544852	4168704
-8.387017781349059	457728
-8.386569121153268	-4056064
-8.386120460957478	-10873856
-8.385671800761688	-6533120
-8.385223140565898	2137600
-8.384774480370105	1176576
-8.384325820174315	7591424
-8.383877159978525	3435520
-8.383428499782735	2915328
-8.382979839586945	2393600
-8.382531179391151	-615424
-8.382082519195361	-6655488
-8.381633858999571	-2194944
-8.38118519880378	8145408
-8.38073653860799	5916160
-8.380287878412197	3653120
-8.379839218216407	5314048
-8.379390558020617	-4259328
