x	y
-8.531482786655616	-5744640
-8.531034126494244	-6637568
-8.530585466332877	-1162240
-8.530136806171505	4407296
-8.529688146010134	9158656
-8.529239485848763	7943168
-8.528790825687395	5396480
-8.528342165526023	6458368
-8.527893505364652	8921088
-8.52744484520328	3145728
-8.526996185041913	-5085184
-8.526547524880542	-10357760
-8.52609886471917	-11800576
-8.525650204557799	-4400128
-8.525201544396431	-1584128
-8.52475288423506	-4629504
-8.524304224073688	2122752
-8.523855563912317	6710272
-8.52340690375095	5533696
-8.522958243589578	-2294784
-8.522509583428207	-10294272
-8.522060923266835	-11134976
-8.521612263105467	-5541888
-8.521163602944096	-10240
-8.520714942782725	-1444864
-8.520266282621353	-1873920
-8.519817622459986	-851968
-8.519368962298614	-2955264
-8.518920302137243	-9420800
-8.518471641975871	-12979200
-8.518022981814504	-3037184
-8.517574321653132	5547008
-8.517125661491761	2555904
-8.51667700133039	-1744896
-8.516228341169022	-2112512
-8.51577968100765	-396288
-8.51533102084628	-2673664
-8.514882360684908	-2904064
-8.51443370052354	-52224
-8.513985040362169	-444416
-8.513536380200797	3225600
-8.513087720039426	-2822144
-8.512639059878058	-11926528
-8.512190399716687	-1037312
-8.511741739555315	-6218752
-8.511293079393944	-10700800
-8.510844419232573	-5057536
-8.510395759071205	-9006080
-8.509947098909834	-2855936
-8.509498438748462	-1436672
-8.50904977858709	3969024
-8.508601118425723	5200896
-8.508152458264352	979968
-8.50770379810298	2087936
-8.507255137941609	92160
-8.506806477780241	4453376
-8.50635781761887	1804288
-8.505909157457499	1610752
-8.505460497296127	-5472256
-8.50501183713476	-11347968
-8.504563176973388	-7116800
-8.504114516812017	-7243776
-8.503665856650645	-6206464
-8.503217196489278	-1870848
-8.502768536327906	2524160
-8.502319876166535	949248
-8.501871216005163	-3706880
-8.501422555843796	-1960960
-8.500973895682424	-2086912
-8.500525235521053	2958336
-8.500076575359682	1037312
-8.499627915198314	-5254144
-8.499179255036942	-5098496
-8.498730594875571	-5019648
-8.4982819347142	-4372480
-8.497833274552832	-5940224
-8.49738461439146	-9823232
-8.49693595423009	-8250368
-8.496487294068718	3572736
-8.49603863390735	176128
-8.495589973745979	913408
-8.495141313584607	3957760
-8.494692653423236	-2238464
-8.494243993261868	-7224320
-8.493795333100497	-8348672
-8.493346672939126	-13378560
-8.492898012777754	-14015488
-8.492449352616386	-10972160
-8.492000692455015	-8037376
-8.491552032293644	-4077568
-8.491103372132272	5226496
-8.490654711970901	1637376
-8.490206051809533	5650432
-8.489757391648162	6251520
-8.48930873148679	-1245184
-8.48886007132542	-2100224
-8.488411411164051	7982080
-8.48796275100268	2439168
-8.487514090841309	2217984
-8.487065430679937	-40960
-8.48661677051857	-1528832
-8.486168110357198	-1317888
-8.485719450195827	-8968192
-8.485270790034456	-4552704
-8.484822129873088	-603136
-8.484373469711716	1201152
-8.483924809550345	4174848
-8.483476149388974	1733632
-8.483027489227606	10025984
-8.482578829066235	9257984
-8.482130168904863	-1559552
-8.481681508743492	-290816
-8.481232848582124	-10816512
-8.480784188420753	-9774080
-8.480335528259381	-10122240
-8.47988686809801	-15032320
-8.479438207936642	-228352
-8.47898954777527	11535360
-8.4785408876139	13212672
-8.478092227452528	203776
-8.47764356729116	4855808
-8.477194907129789	4397056
-8.476746246968418	4119552
-8.476297586807046	6758400
-8.475848926645678	8378368
-8.475400266484307	9073664
-8.474951606322936	6279168
-8.474502946161564	1754112
-8.474054286000197	-321536
-8.473605625838825	3671040
