x	y
-8.52647241115098	-6409216
-8.526023750987363	-4023296
-8.525575090823743	-560128
-8.525126430660126	4136960
-8.524677770496506	-958464
-8.52422911033289	-2482176
-8.52378045016927	-5487616
-8.523331790005653	-2880512
-8.522883129842032	-2418688
-8.522434469678416	3848192
-8.521985809514796	-935936
-8.521537149351179	-2110464
-8.521088489187559	-3488768
-8.520639829023942	-1139712
-8.520191168860322	418816
-8.519742508696705	-1793024
-8.519293848533085	-7252992
-8.518845188369468	-12259328
-8.518396528205848	-9057280
-8.517947868042231	2942976
-8.517499207878611	2894848
-8.517050547714994	-3836928
-8.516601887551374	-5391360
-8.516153227387758	-2134016
-8.515704567224137	-14136320
-8.51525590706052	-12721152
-8.5148072468969	-5825536
-8.514358586733284	-2678784
-8.513909926569664	673792
-8.513461266406047	4518912
-8.513012606242427	5244928
-8.51256394607881	-3674112
-8.51211528591519	-1400832
-8.511666625751573	-5093376
-8.511217965587953	-15479808
-8.510769305424336	-5914624
-8.510320645260716	-2526208
-8.5098719850971	1734656
-8.50942332493348	1830912
-8.508974664769863	-379904
-8.508526004606242	-13161472
-8.508077344442626	-10455040
-8.507628684279005	-764928
-8.507180024115389	-436224
-8.506731363951769	-6574080
-8.506282703788152	-14459904
-8.505834043624532	-14447616
-8.505385383460915	-9736192
-8.504936723297295	-6281216
-8.504488063133678	-7173120
-8.504039402970058	-3228672
-8.503590742806441	-3375104
-8.503142082642821	-642048
-8.502693422479204	-3970048
-8.502244762315584	4545536
-8.501796102151967	2433024
-8.501347441988347	-4865024
-8.50089878182473	-927744
-8.50045012166111	4631552
-8.500001461497494	6551552
-8.499552801333873	8015872
-8.499104141170257	5915648
-8.498655481006637	6214656
-8.49820682084302	-2850816
-8.4977581606794	-8836096
-8.497309500515783	-8348672
-8.496860840352163	-5789696
-8.496412180188546	-4998144
-8.495963520024926	-4452352
-8.49551485986131	555008
-8.495066199697689	1752064
-8.494617539534072	2230272
-8.494168879370452	-2668544
-8.493720219206836	2547712
-8.493271559043215	-979968
-8.492822898879599	1792000
-8.492374238715978	-2697216
-8.491925578552362	2426880
-8.491476918388742	203776
-8.491028258225125	-1851392
-8.490579598061505	5088256
-8.490130937897888	7731200
-8.489682277734268	4165632
-8.489233617570651	-2131968
-8.48878495740703	2564096
-8.488336297243414	849920
-8.487887637079794	-4544512
-8.487438976916177	-7233536
-8.486990316752557	-1386496
-8.48654165658894	-1732608
-8.48609299642532	-841728
-8.485644336261704	-7317504
-8.485195676098083	-4092928
-8.484747015934467	-6764544
-8.484298355770846	-6589440
-8.48384969560723	-9835520
-8.48340103544361	-10657792
-8.482952375279993	-9750528
-8.482503715116373	-1286144
-8.482055054952756	-1190912
-8.481606394789136	-4338688
-8.48115773462552	-6468608
-8.480709074461899	-11047936
-8.480260414298282	-11724800
-8.479811754134662	-5483520
-8.479363093971045	2388992
-8.478914433807425	878592
-8.478465773643808	5905408
-8.478017113480188	4043776
-8.477568453316572	-3058688
-8.477119793152951	-9225216
-8.476671132989335	-13016064
-8.476222472825715	-6117376
-8.475773812662098	-2927616
-8.475325152498478	-5399552
-8.474876492334861	-6694912
-8.47442783217124	-1504256
-8.47397917200762	-1192960
-8.473530511844004	-5343232
-8.473081851680384	-10586112
-8.472633191516767	-12058624
-8.472184531353147	-14300160
-8.47173587118953	-4373504
-8.47128721102591	-1106944
-8.470838550862293	-2117632
-8.470389890698673	-646144
-8.469941230535056	894976
-8.469492570371436	3506176
-8.46904391020782	2325504
-8.4685952500442	3723264
-8.468146589880583	6117376
-8.467697929716962	10686464
-8.467249269553346	4285440
-8.466800609389725	-6195200
-8.466351949226109	-1859584
-8.465903289062489	-2883584
-8.465454628898872	-3791872
-8.465005968735252	-8039424
-8.464557308571635	-770048
-8.464108648408015	2290688
-8.463659988244398	4084736
-8.463211328080778	4502528
-8.462762667917161	5346304
-8.462314007753541	239616
-8.461865347589924	-1394688
-8.461416687426304	1658880
-8.460968027262687	1189888
-8.460519367099067	5817344
-8.46007070693545	3928064
-8.45962204677183	4460544
-8.459173386608214	-2012160
-8.458724726444594	-729088
-8.458276066280977	1676288
-8.457827406117357	4161536
-8.45737874595374	1655808
-8.45693008579012	-4521984
-8.456481425626503	-696320
-8.456032765462883	-657408
-8.455584105299266	-10563584
-8.455135445135646	-12169216
-8.45468678497203	-7710720
-8.454238124808409	-4456448
